trigger,data_policy,training_policy,replica,trajectory_index,start_frame,budget_frames,kl_ref_to_est,coverage,retrain_count,total_train_seconds,train_equivalent_frames,marginal_gain_sum,final_train_vamp2,final_validation_vamp2,final_epochs_run,test_vamp2,monitor_vamp2_mean,monitor_vamp2_std
Threshold-delta,Window-W,Fixed-200ep,1,1,81146,25000,0.9701961445182582,0.2829861111111111,1,0.7908440219998738,19408.263548172235,5.645758749368363e-06,0.2504566828025837,0.17963105044001249,200,0.8117754430511932,0.28310097420432057,0.07822476605233167
Threshold-delta,Window-W,EarlyStopping,1,1,9151,25000,0.9587222666320135,0.2795138888888889,2,0.006453048000025774,158.3655598189828,0.00186797180187395,0.2246567040280231,0.09399572205280382,1,0.268423765117555,0.26024107033740573,0.07992952001050424
Threshold-delta,Reweighted-Full,Fixed-50ep,1,1,64903,25000,0.9572322588264273,0.27734375,1,0.17576155099993684,4313.399872222633,1.6619331076048316e-05,0.2412536175681788,0.10507419606796879,50,0.3053018279459205,0.24592902634149114,0.06736465607135297
Threshold-delta,Reweighted-Full,Fixed-200ep,1,1,20107,25000,0.9579157509009212,0.2777777777777778,2,2.067987775000006,50750.90742938539,4.708857065655974e-06,0.2731585980597785,0.14193861899692903,200,0.21449110479031927,0.21643914116265908,0.10062544273104405
Threshold-delta,Reweighted-Full,EarlyStopping,1,1,204222,25000,0.1779783161569403,0.36328125,4,0.008307917999900383,203.88630070304345,0.004125063589661987,0.3946261382740727,1.0101485890433926,1,0.24110269480305319,0.33613506989142417,0.27724090689308994
Threshold-delta,Reweighted-Window,Fixed-50ep,1,1,170654,25000,0.941029518967205,0.2838541666666667,1,0.1414016809999339,3470.167333453945,1.022450966099402e-05,0.28218995605198305,0.037480775132653375,50,0.27457324454078513,0.2515541548651192,0.0821435407157471
Threshold-delta,Reweighted-Window,Fixed-200ep,1,1,49953,25000,0.9579269659579036,0.2808159722222222,2,1.191780999999878,29247.739245989495,5.608505672121572e-06,0.30668759207012913,0.11158698487489757,200,0.28219931698796163,0.2701062840709622,0.08339410381633247
Threshold-delta,Reweighted-Window,EarlyStopping,1,1,176030,25000,0.9436250865201652,0.2816840277777778,3,0.0072709250001707915,178.43724516682443,0.0027528785258624003,0.3725454707531078,0.005158159521512986,1,0.2855645990214335,0.2387724003243092,0.09732741949718245
ADWIN,Full,Fixed-50ep,1,1,58372,25000,0.9597073836360333,0.2821180555555556,0,0.062429188999999496,1532.0873895545974,0.0,0.18336359560228987,0.33433919496238096,50,0.3017345075116738,0.2724423001819109,0.08802665645290089
ADWIN,Full,Fixed-200ep,1,1,52076,25000,0.9714270591831639,0.2816840277777778,0,0.25997736200008603,6380.1571711912775,0.0,0.09634567404907751,0.42890273821394775,200,0.2743675680471609,0.27159474237477577,0.08787894709684645
ADWIN,Full,EarlyStopping,1,1,129011,25000,0.9646329964008444,0.2803819444444444,0,0.0014283709999745042,35.05394242213279,0.0,0.2818566964815949,0.022161126758662424,1,0.33491627662842777,0.23363952306000216,0.07215739834024767
ADWIN,Window-W,Fixed-50ep,1,1,57146,25000,0.9582742856744506,0.2816840277777778,0,0.08715322299997297,2138.8449226418647,0.0,0.19384063534476362,0.04513871624207888,50,0.2997772352989134,0.2694324712403529,0.09109008112694593
ADWIN,Window-W,Fixed-200ep,1,1,101641,25000,0.1151629690907072,0.3450520833333333,0,0.2555868480000072,6272.408676601932,0.0,0.32666114678574915,0.2035348999487589,200,0.7359924719850617,0.3343503286997697,0.19689594192601184
ADWIN,Window-W,EarlyStopping,1,1,131992,25000,0.9555639294931016,0.2821180555555556,0,0.0015413920000355574,37.82761370830616,0.0,0.16278442895627376,0.060491925513918396,1,0.3336436025521319,0.23973700391156533,0.07616790578847545
ADWIN,Reweighted-Full,Fixed-50ep,1,1,158724,25000,0.9504071678993813,0.2842881944444444,0,0.06262045100004343,1536.7811890907135,0.0,0.18791913847653188,0.005781773629881723,50,0.7134859486173944,0.23906068385823295,0.07804477881908392
ADWIN,Reweighted-Full,Fixed-200ep,1,1,76019,25000,0.9597884524421709,0.2760416666666667,0,0.25699233800003185,6306.901091763418,0.0,0.1862128857034188,0.031047209714870183,200,0.722614410532405,0.26562179226179117,0.0761027256579343
ADWIN,Reweighted-Full,EarlyStopping,1,1,213407,25000,0.1868158273006051,0.3624131944444444,0,0.001568334000012328,38.488802794292695,0.0,0.26139050476049686,0.3688781605690873,1,0.2470116445302204,0.3121475702441576,0.2777645027108291
ADWIN,Reweighted-Window,Fixed-50ep,1,1,17941,25000,0.9585549433050126,0.2760416666666667,0,0.07308281300004182,1793.5401369789022,0.0,0.3977592465275003,0.08538734212701961,50,0.25437131431029153,0.21608986021502957,0.09883884056380708
ADWIN,Reweighted-Window,Fixed-200ep,1,1,48856,25000,0.9520952169273258,0.2808159722222222,0,0.27324758099996416,6705.824307221849,0.0,0.3032108031917835,0.20329476875363883,200,0.27357631603729343,0.27331484133991735,0.0826765957006137
ADWIN,Reweighted-Window,EarlyStopping,1,1,88033,25000,0.9339387920726502,0.2868923611111111,0,0.0016879180000159977,41.42353799320936,0.0,0.19428118546907683,0.3061163552484532,1,0.8205516197549975,0.27296586867432415,0.08636773867526015
Fixed-T,Full,Fixed-50ep,2,2,35463,25000,0.9653499954560353,0.2760416666666667,4,0.8844767279999814,21706.12277733248,2.8598233119418327e-05,0.22266329190417578,0.2822315458856572,50,0.2541494356388821,0.22064846439544203,0.10272464506717857
Fixed-T,Full,Fixed-200ep,2,2,82104,25000,0.20388270228031663,0.3680555555555556,4,4.615673054000126,113274.16859989334,8.668700275691147e-06,0.7869685873001733,0.22893887684697292,200,0.8787086536271436,0.4204924418779936,0.28394204615500473
Fixed-T,Full,EarlyStopping,2,2,142960,25000,0.167088256054089,0.3572048611111111,4,0.008346442000174648,204.83172600746954,0.0034390718986800225,0.07675242848139861,0.19702384765450523,1,0.3893529267996991,0.2876908242175266,0.19868592741622215
Fixed-T,Window-W,Fixed-50ep,2,2,152931,25000,0.1904380403516584,0.359375,4,0.5811365209999622,14261.789231855626,5.909947344491087e-05,0.8383496920259761,0.3178397522964342,50,0.5297034487641737,0.31344369931664245,0.24971251813376186
Fixed-T,Window-W,Fixed-200ep,2,2,121714,25000,0.18374460766231143,0.3541666666666667,4,2.2946680949999063,56313.915139321376,1.473647173892673e-05,0.5863422559852178,0.05067983991110786,200,0.35222391086449334,0.37909994686754367,0.3052260942422459
Fixed-T,Window-W,EarlyStopping,2,2,14832,25000,0.9622018113266921,0.2803819444444444,4,0.012230253000097946,300.1451194971073,0.0017039547069327113,0.22806724500151204,0.2256548390550959,1,0.5017080775798048,0.2469920304016824,0.08979901005111997
Fixed-T,Reweighted-Full,Fixed-50ep,2,2,21422,25000,0.9879365275133974,0.2760416666666667,4,0.9207369569999173,22595.99241176204,3.5953273266045635e-05,0.2350421004562021,0.2131574575231578,50,0.3751595617251397,0.21163540606801276,0.08938723005462712
Fixed-T,Reweighted-Full,Fixed-200ep,2,2,56760,25000,0.302148901823242,0.2986111111111111,4,3.842550765000169,94300.81769571247,7.913123056669162e-06,0.27795495285256155,0.30565418784979875,200,0.2631858605400824,0.29091679064001613,0.10684344418145583
Fixed-T,Reweighted-Full,EarlyStopping,2,2,130065,25000,0.17125389374127253,0.3272569444444444,4,0.013085864999993646,321.14286712749544,0.0024200705592935796,0.24696157998976467,0.39785727967439904,1,0.3530292430343279,0.3041832638398661,0.18311640499464696
Fixed-T,Reweighted-Window,Fixed-50ep,2,2,99865,25000,0.16967525259411195,0.3402777777777778,4,0.6198633349997635,15212.191829056153,5.673689385538169e-05,0.2893910671100329,0.09112317745887441,50,0.29628694016397306,0.3208930907205114,0.27965451760217397
Fixed-T,Reweighted-Window,Fixed-200ep,2,2,137066,25000,0.19675472929849197,0.3255208333333333,4,2.4778279329996167,60808.8778733755,1.0990226314958317e-05,0.2514339122819758,0.0703890328627854,200,0.38529069360919466,0.2795582135848305,0.19096462777000206
Fixed-T,Reweighted-Window,EarlyStopping,2,2,8362,25000,0.9484360304756445,0.2825520833333333,4,0.008346378000169352,204.83015537035868,0.002620089820055188,0.22122040794737965,0.1774790659135129,1,0.5196885277944154,0.25345323627549265,0.09601121721303886
Threshold-delta,Full,Fixed-50ep,2,2,159028,25000,0.1876976659228793,0.3559027777777778,1,0.20382318500014662,5002.066123870052,4.069207881635461e-05,0.44059198043408226,0.012685643573143012,50,0.7638128411332901,0.3106946787033305,0.23713138334609626
Threshold-delta,Full,Fixed-200ep,2,2,206150,25000,0.9402710253882697,0.2825520833333333,2,0.9462660169999708,23222.50625119803,3.6003387731973883e-06,0.2631617195280518,0.08529622487552424,200,0.31934076365498876,0.232870963554256,0.05709202327796597
Threshold-delta,Full,EarlyStopping,2,2,100118,25000,0.16284156333430402,0.3407118055555556,1,0.0037741899998309236,92.62316229230645,0.003988528887562297,0.17377221179518965,0.1206886050562742,1,0.29414326781040795,0.3251667068294957,0.282957957842395
Threshold-delta,Window-W,Fixed-50ep,2,2,77229,25000,0.16313572196768242,0.3537326388888889,4,0.4882264099999247,11981.663353153655,2.395192483594349e-05,0.3948995782218048,0.20083380028879483,50,0.8835453620335176,0.3891295738808185,0.2317408309305235
Threshold-delta,Window-W,Fixed-200ep,2,2,47889,25000,0.9606057041296313,0.2808159722222222,1,0.7421551699999327,18213.38055584311,5.479476859548964e-06,0.2933596696652194,0.10352127130713137,200,0.22559140441196296,0.26051676959177456,0.08407206636207311
Threshold-delta,Window-W,EarlyStopping,2,2,190605,25000,0.9599345013570959,0.2816840277777778,1,0.003341506999959165,82.00460103279401,0.0024070609489709655,0.15447626799548417,0.045281680388036816,1,0.2712977527393457,0.2302892492201625,0.09957248691210195
